>> Using existing Caliper image (misinfo-caliper:latest); export FORCE_BUILD=1 to rebuild
>> Running benchmark suite: submit-report-write + query-all-reports-read
 Container misinfo-caliper Creating 
 Container misinfo-caliper Created 
Attaching to misinfo-caliper
 Container misinfo-caliper Starting 
 Container misinfo-caliper Started 
misinfo-caliper  | 2026.09.06-23:24:03.575 info  [caliper] [cli-launch-manager] 	Set workspace path: /caliper/workspace
misinfo-caliper  | 2026.09.06-23:24:03.576 info  [caliper] [cli-launch-manager] 	Set benchmark configuration path: /caliper/workspace/benchmarks/misinformation-benchmark.yaml
misinfo-caliper  | 2026.09.06-23:24:03.576 info  [caliper] [cli-launch-manager] 	Set network configuration path: /caliper/workspace/networks/fabric/test-network.yaml
misinfo-caliper  | 2026.09.06-23:24:03.576 info  [caliper] [cli-launch-manager] 	Set SUT type: fabric
misinfo-caliper  | 2026.09.06-23:24:03.607 info  [caliper] [benchmark-validator] 	No observer specified, will default to `none`
misinfo-caliper  | 2026.09.06-23:24:03.608 info  [caliper] [caliper-engine] 	Starting benchmark flow
misinfo-caliper  | 2026.09.06-23:24:03.611 info  [caliper] [caliper-engine] 	Network configuration attribute "caliper.command.start" is not present, skipping start command
misinfo-caliper  | 2026.09.06-23:24:03.847 info  [caliper] [FabricConnectorFactory] 	Initializing peer gateway connector compatible with installed fabric-gateway SDK: 1.7.1
misinfo-caliper  | 2026.09.06-23:24:03.859 info  [caliper] [IdentityManager] 	Adding Admin (admin=true) as Admin for organization Org1MSP
misinfo-caliper  | 2026.09.06-23:24:03.863 info  [caliper] [connectors/peer-gateway/PeerGateway] 	Fabric-Gateway SDK version: 1.7.1 for Peer-Gateway connector; TLS based on Org1MSP: server
misinfo-caliper  | 2026.09.06-23:24:03.864 info  [caliper] [caliper-engine] 	Executed "init" step in 0.004 seconds
misinfo-caliper  | 2026.09.06-23:24:03.864 warn  [caliper] [connectors/peer-gateway/PeerGateway] 	Install smart contract not available for the Fabric Peer Gateway connector
misinfo-caliper  | 2026.09.06-23:24:03.864 info  [caliper] [caliper-engine] 	Executed "install" step in 0 seconds
misinfo-caliper  | 2026.09.06-23:24:03.868 info  [caliper] [monitor.js] 	No resource monitors specified
misinfo-caliper  | 2026.09.06-23:24:03.870 info  [caliper] [default-observer] 	Observer interval set to 5000 milliseconds
misinfo-caliper  | 2026.09.06-23:24:03.873 info  [caliper] [round-orchestrator] 	Preparing worker connections
misinfo-caliper  | 2026.09.06-23:24:03.873 info  [caliper] [worker-orchestrator] 	Launching worker 1 of 2
misinfo-caliper  | 2026.09.06-23:24:03.877 info  [caliper] [worker-orchestrator] 	Launching worker 2 of 2
misinfo-caliper  | 2026.09.06-23:24:03.879 info  [caliper] [worker-orchestrator] 	Messenger not configured, entering configure phase...
misinfo-caliper  | 2026.09.06-23:24:03.880 info  [caliper] [worker-orchestrator] 	No existing workers detected, entering worker launch phase...
misinfo-caliper  | 2026.09.06-23:24:03.880 info  [caliper] [worker-orchestrator] 	Waiting for 2 workers to be connected...
