>> Using existing Caliper image (misinfo-caliper:latest); export FORCE_BUILD=1 to rebuild
>> Running benchmark suite: submit-report-write + query-all-reports-read
 Container misinfo-caliper Creating 
 Container misinfo-caliper Created 
Attaching to misinfo-caliper
 Container misinfo-caliper Starting 
 Container misinfo-caliper Started 
misinfo-caliper  | 2026.09.06-21:57:35.807 info  [caliper] [cli-launch-manager] 	Set workspace path: /caliper/workspace
misinfo-caliper  | 2026.09.06-21:57:35.808 info  [caliper] [cli-launch-manager] 	Set benchmark configuration path: /caliper/workspace/benchmarks/misinformation-benchmark.yaml
misinfo-caliper  | 2026.09.06-21:57:35.808 info  [caliper] [cli-launch-manager] 	Set network configuration path: /caliper/workspace/networks/fabric/test-network.yaml
misinfo-caliper  | 2026.09.06-21:57:35.808 info  [caliper] [cli-launch-manager] 	Set SUT type: fabric
misinfo-caliper  | 2026.09.06-21:57:35.854 info  [caliper] [benchmark-validator] 	No observer specified, will default to `none`
misinfo-caliper  | 2026.09.06-21:57:35.854 info  [caliper] [caliper-engine] 	Starting benchmark flow
misinfo-caliper  | 2026.09.06-21:57:35.854 info  [caliper] [caliper-engine] 	Network configuration attribute "caliper.command.start" is not present, skipping start command
misinfo-caliper  | 2026.09.06-21:57:36.093 info  [caliper] [FabricConnectorFactory] 	Initializing peer gateway connector compatible with installed fabric-gateway SDK: 1.7.1
misinfo-caliper  | 2026.09.06-21:57:36.112 info  [caliper] [IdentityManager] 	Adding Admin (admin=true) as Admin for organization Org1MSP
misinfo-caliper  | 2026.09.06-21:57:36.117 info  [caliper] [connectors/peer-gateway/PeerGateway] 	Fabric-Gateway SDK version: 1.7.1 for Peer-Gateway connector; TLS based on Org1MSP: server
misinfo-caliper  | 2026.09.06-21:57:36.117 info  [caliper] [caliper-engine] 	Executed "init" step in 0.004 seconds
misinfo-caliper  | 2026.09.06-21:57:36.117 warn  [caliper] [connectors/peer-gateway/PeerGateway] 	Install smart contract not available for the Fabric Peer Gateway connector
misinfo-caliper  | 2026.09.06-21:57:36.118 info  [caliper] [caliper-engine] 	Executed "install" step in 0.001 seconds
misinfo-caliper  | 2026.09.06-21:57:36.121 info  [caliper] [monitor.js] 	No resource monitors specified
misinfo-caliper  | 2026.09.06-21:57:36.123 info  [caliper] [default-observer] 	Observer interval set to 5000 milliseconds
misinfo-caliper  | 2026.09.06-21:57:36.126 info  [caliper] [round-orchestrator] 	Preparing worker connections
misinfo-caliper  | 2026.09.06-21:57:36.126 info  [caliper] [worker-orchestrator] 	Launching worker 1 of 2
misinfo-caliper  | 2026.09.06-21:57:36.131 info  [caliper] [worker-orchestrator] 	Launching worker 2 of 2
misinfo-caliper  | 2026.09.06-21:57:36.133 info  [caliper] [worker-orchestrator] 	Messenger not configured, entering configure phase...
misinfo-caliper  | 2026.09.06-21:57:36.133 info  [caliper] [worker-orchestrator] 	No existing workers detected, entering worker launch phase...
misinfo-caliper  | 2026.09.06-21:57:36.134 info  [caliper] [worker-orchestrator] 	Waiting for 2 workers to be connected...
misinfo-caliper  | 2026.09.06-21:57:36.613 info  [caliper] [cli-launch-worker] 	Set workspace path: /caliper/workspace
